name,url,distinction,reservation_link,description_en,postal_code,region,locality,lat,lon,price_lvl,genre
田舎茶屋 千恵／Inakajaya Chie,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/inakajaya-chie,,,人里離れた山間に立つ一軒家。築150年の古民家を移築した空間は、土間にかまど、囲炉裏など田舎暮らしの風情が漂う。両親が築いた店を三人の息子が引き継ぎ、食と人は自然への共存ということを教えてくれる。自家菜園の野菜を多く取り入れ、裏山で摘んできた山菜や野草は天ぷらに。薪炊きご飯も嬉しい。,633-0044,奈良,奈良,34.486396,135.843355,¥¥,日本料理
サンプル コム ボンジュール／Simple comme Bonjour,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/simple-comme-bonjour,ビブグルマン：価格以上の満足感が得られる料理,,クルーズ客船のコックだった父の背中を追いかけフレンチの道に。パリでは憧れの「ピエール・ガニェール」で学べたことから、料理人としての士気が上がったと川口幸太郎は話す。現地で得たのは、食材を重ねてハーモニーを生み出す技術。定番がないのも、常にインスピレーションで創作するためである。,632-0016,奈良,奈良,34.600237,135.833375,¥¥,フランス料理
春暁／SHUN-GYO,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/shun-gyo,,https://www.tablecheck.com/ja/shungyo/reserve/message?utm_source=michelin_guide,奈良の食文化と中国料理の融合。歴史ある風土と食材で織り成す。飛鳥時代から伝わる保存食の蘇や、奈良時代に発展した調味料のひしおを手作りする。御所市の鴨を用いた北京ダックは、北京料理を経験したシェフならでは。温故知新を掲げ、中華の伝統にトリュフやフォワグラを合わせ新味に挑んでいる。,630-8115,奈良,奈良,34.682806,135.817712,¥¥¥,中国料理
ありがとう／Arigato,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/arigato,,,「ありがとう」に込めた池嶋啓行の気持ち。一人前に育ててくれた師匠、下積み時代から連れ添ってきた女将、職人になることを見守ってくれた両親。人の支えに感謝を忘れず板場に立つ。飾り切りは、師匠直伝の包丁技。だしに重きを置き、色々な食材から旨みを引く。和牛と野菜の餡かけに、双方のだしが生きる。,631-0036,奈良,奈良,34.699642,135.750415,¥¥¥,日本料理
カミーノ／Camino,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/camino-1207641,,,上路勇シェフは、北から南まで各地の郷土料理を伝えてくれる。特に魅せられたのは、イタリア料理を象徴するパスタ。プーリア州のオレッキエッテ、リグーリア州のトロフィエといった手打ちに力を注ぐ。地方色に合わせるのは各州のワイン。築100年を超える町家の温もり、朗らかなもてなしに心が和む。,630-8381,奈良,奈良,34.677008,135.834792,¥¥,イタリア料理
レガ／Lega',https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/lega,1つ星：高品質な料理,,「繋ぐ・結ぶ」を意味する店名のとおり、菅原将吾シェフが奈良の食材とイタリア料理を繋ぐ。生ハムを種にした柿の葉寿司、大和野菜を合わせた手打ちパスタ。ピエモンテで学んだ豚肉の煮込みには、大和ポークを使う。地域の産物や生産者のエピソードを交えながら説明し、奈良とゲストを結んでいる。,639-2163,奈良,奈良,34.508241,135.717264,¥¥,イタリア料理
37+1／Sanjuhachi,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/sanjuhachi,ミシュラン グリーンスター,,亀井俊一は、農学部で野菜作りと水質を研究した“土と水の料理人”。自ら野菜を育て、料理に合う水を仕込む。食材ごとに合う水をデータ化し、数種の水を混ぜて硬度と㏗を合わす。店名の数式は、妻が決めた独立期限の37歳。数字の1は、約束を果たせなかった謝罪の念。理系シェフはプラスαで料理する。,635-0085,奈良,奈良,34.508629,135.743501,¥¥¥,イタリア料理
ピッツェリア トラットリア マガジーノ／PIZZERIA TRATTORIA MAGAZZINO,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/pizzeria-trattoria-magazzino,ビブグルマン：価格以上の満足感が得られる料理,,ナポリ製法に忠実なピッツァ。野田泰仙シェフが本場の味を再現する。ナポリにあって奈良にないのが海。そこで考えたのが、畑本位の店であること。野菜を自ら栽培し、食材の主役に据えた。シェフの母が「マンマ農園」を仕切り、収穫はシェフ自身で行う。香芝の恵みは“母なる大地”から生まれる。,639-0227,奈良,奈良,34.520592,135.712308,¥,ピッツァ
蔵元料理 マルト醤油／Kuramoto Ryori Maruto Shoyu,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/kuramoto-ryori-maruto-shoyu,ミシュラン グリーンスター,https://www.tablecheck.com/shops/maruto-shoyu/reserve?utm_source=michelin_guide,奈良最古の醤油蔵元にある和食店。18代当主と共に取り組む料理長は、醤油と野菜を献立の主役に据える。三輪素麺に泡醤油、炊き込みご飯にもろみパウダーなど、前菜から甘味まで醤油を合わす。和モダンをテーマとし、中華やフレンチに発想を得た品も。歴史ある田原本から“醸す食文化”を発信している。,636-0243,奈良,奈良,34.549966,135.816381,¥¥¥,日本料理
和 あすか／Wa Asuka,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/wa-asuka,,,和の精神性を尊ぶ坂本充。日本書記に登場する富雄に店を構えた。献立に五節句などの歳事を取り入れ、季節の葉をあしらうのも和の心に通じる。大和丸なすは、にしんと炊き合わせに。大和牛は炭火でじっくりと焼く。ご飯は主人のルーツである明日香村のヒノヒカリ。大和魂を胸に古都の食材と向き合う。,631-0078,奈良,奈良,34.692248,135.733713,¥¥¥,日本料理
クチーナ レジョナーレ ヤナガワ／cucina regionale YANAGAWA,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/cucina-regionale-yanagawa,,,栁川真美が歩むイタリア料理の道。料理教室の楽しさが、シェフに転身させた。先ずは本場を知りたいと海を渡り、学んだのは地方色の豊かさ。郷土料理を意味する「cucina regionale」を冠したのも、自身が育った地元と地域の生産者を大切にする想いから。イタリアと奈良を繋ぎ、郷土の魅力を伝えてくれる。,630-8385,奈良,奈良,34.677237,135.83132,¥¥¥,イタリア料理
ピッツェリア ルナノーヴァ／Pizzeria Luna Nuova,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/pizzeria-luna-nuova,ビブグルマン：価格以上の満足感が得られる料理,,赤井健二がピッツァに惹かれたのは、一枚の中で完結するシンプルさ。薪窯で焼くナポリピッツァに情熱を注ぐ。生地は香りと軽さを重視しイタリアの小麦粉を使用。人気は水牛のモッツァレラ、ドライチェリートマト、バジルのD.O.C。自家製サルシッチャや炭火焼の料理にも、イタリアンでの経験が生きる。,630-8115,奈良,奈良,34.682651,135.817442,¥,ピッツァ
あらき／Araki,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/araki,,,「食」という字は、人を良くすると書く。主人はこの意味合いを信念とし、旬の楽しみ方を食べ手と語らう。魚介の質に気を配るため、産地から取り寄せたものも。淡路の鱧、和歌山のくえがその好例。締めの定番は、京風だし茶漬やちりめん山椒ご飯。ほっこりする味わいに京都での経験が表れる。,631-0036,奈良,奈良,34.700416,135.750256,¥¥¥,日本料理
まさら庵TAKUMI／Masala an TAKUMI,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/masala-an-takumi,ビブグルマン：価格以上の満足感が得られる料理,,インド料理に長年従事した阪中巧はスパイスの匠。日本人の感性とフレンチの経験で“和洋印折衷”の料理を生む。まさら八寸は会席に想を得た。パテドカンパーニュにドライカレー、三輪手延べパスタは奈良らしい。暖簾に掲げた“nouvelle cuisine of India” が新しい料理を物語る。,631-0052,奈良,奈良,34.68009,135.742349,¥¥,インド料理
旬菜・中華バル ミツカン／Shunsai Chuka Bar Mitsukan,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/shunsai-chuka-bar-mitsukan,ビブグルマン：価格以上の満足感が得られる料理,,居酒屋のような気軽さと本格中華が売りの「中華バル」。奈良の地酒と焼酎に力を入れて酒場を目指す。四川料理が得意なシェフだけに、よだれ鶏と麻婆豆腐が名物。五條市の銘柄豚は肉焼売に仕立て、桜井市笠地区の「笠そば」を用いるなど、中国の伝統に地域の食材や文化を取り入れながら創作している。,634-0804,奈良,奈良,34.513999,135.791298,¥,中国料理
きみなみ／Kiminami,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/kiminami,ビブグルマン：価格以上の満足感が得られる料理,,蕎麦と水だけで打つ“引き算の仕事”に心を打たれた主人。和食の料理人だった頃、その技に深く感銘を受けた。つなぎを足さないのも同じ理念から。夏は喉越しを求めて細く、冬は噛むことで広がる風味を楽しめるよう太めに切る。丸抜きを衣に混ぜた海老の天ぷらは、蕎麦前におすすめの一品。,631-0011,奈良,奈良,34.718044,135.764071,¥,蕎麦
玄／Gen,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/gen-1197157,,,造り酒屋の敷地内に立つ蕎麦屋。この地は春日山より流れる清らかな水が湧くことから清水町 という。主人は酒の仕込み水を使い、極めて細い十割蕎麦を打つ。香りを求め、選りすぐりの実を手回しの石臼で挽く。純粋な味を伝えるのが水につけて食べる水蕎麦。農家が収穫した実の出来を確かめる食べ方にちなむ。,630-8381,奈良,奈良,34.676787,135.833865,¥¥¥,蕎麦
川波／Kawanami,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/kawanami,,,暖簾に掲げる“土の料理人”とは、野菜を尊ぶ初代の心を表したもの。畑を耕し、愛情を込めて野菜を育ててきた。その情熱を二代目の息子が受け継ぐ。伝えたいのは、野山や自らの畑で収穫した朝採れ野菜のおいしさ。夏は冬瓜釜に新玉葱のだしを盛るなど趣向を凝らす。自ら作陶した器も土から生まれている。,630-8114,奈良,奈良,34.685979,135.810155,¥¥,日本料理
御料理 花墻／Oryori Hanagaki,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/oryori-hanagaki,2つ星：優れた料理,https://omakaseje.com/r/ab427007?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,迎える客は昼夜共に一組のみ。嗜好と要望に寄り添う一期一会の献立が古田俊彦のもてなし。予約時に好みを聞き、各地から食材を調達。来客と同時に焼き始める和牛は力を注ぐ一品。古美術に精通する主人は、年代物の漆器や西洋アンティークなど器を愛でる喜びも盛り込む。細やかな気遣いがご馳走感を高める。,631-0034,奈良,奈良,34.692643,135.753435,¥¥¥,日本料理
おか田／Okada,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/okada,1つ星：高品質な料理,https://www.tablecheck.com/shops/okada-nara/reserve?utm_source=michelin_guide,猿沢池の近くに位置するカウンター割烹店。大阪の修業先で培った客と向き合う心得を忘れない。若いチームも自由に立ち動き、店主と共に会話で場を和ませる。会席を通じて伝えるのは奈良の食の豊かさ。八寸は大皿に盛り込み、日本料理の美しさを表現。最後は自ら薄茶を点て感謝の気持ちを込める。,630-8374,奈良,奈良,34.680423,135.830455,¥¥¥,日本料理
白／Tsukumo,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/tsukumo,2つ星：優れた料理,,百から一画目の一を引くと白。数式で示すと九十九(つくも)。完全なる百まであと一歩という未完の美を追うと共に、白色が意味する物事の始まりさえも表す。日本の歴史が始まった奈良の文化を紐解く西原理人。日本料理の深化を図り、地元の食材と創意で献立を紡ぐ。独創した流れは古都の物語のよう。,630-8306,奈良,奈良,34.675974,135.834095,¥¥¥,日本料理
奈良 而今／NARA NIKON,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/nara-nikon,2つ星：優れた料理,,日本料理の文化を世界に発信。炭台で火入れする焼物、かまどで炊くご飯など、昔ながらの調理風景を見せてくれる。八寸を欠かさないのは、季節感を最も表現できるため。屋号は道元禅師が唱えた禅語。清水唱二郎が料理と真摯に向き合う姿は「今という瞬間に成すべきことをなす」という而今に通じる。,630-8264,奈良,奈良,34.686899,135.829383,¥¥¥,日本料理
まつ㐂／Matsuki,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/matsuki,1つ星：高品質な料理,https://www.tablecheck.com/matsuki/reserve/experiences?utm_source=michelin_guide,会席の伝統と季節の息づかいを料理に宿す松室克哉。大阪で学んだ“浪速の喰い味”を重んじ、食材の持ち味に心を配る。引きたての一番だしを張る椀物、四季の情景を映す八寸が見どころ。胡麻豆腐や柿の葉寿司は古都の食文化を伝える。自家農園の米や野菜を用いた献立。自然の恵みに感謝しつつ腕を振るう。,630-8344,奈良,奈良,34.678633,135.827548,¥¥¥,日本料理
アコルドゥ／akordu,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/akordu,2つ星：優れた料理,,記憶を意味するアコルドゥ。川島宙シェフは奈良の歴史、食材の背景、食べ手の思い出を料理に映し、記憶として紡ぐ。テーブルに置かれた小さな箱。中のカード一枚ごとにメニューが書かれ、詩的な表現に想像が広がってゆく。風土に根差したガストロノミー。モダンスパニッシュから学んだ自由な発想が生きる。,630-8208,奈良,奈良,34.68575,135.835467,¥¥¥,イノベーティブ
コンフォルタ／KOMFORTA,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/komforta,,https://www.tablecheck.com/shops/komforta-nara/reserve?utm_source=michelin_guide,"“コンフォルタ”はエスペラント語で""心地よい、温もりのある""という意味。小高い場所に位置する山小屋風の建物も同様、木目調で温かみある空間。創造性豊かな料理は自由な発想で調理。奈良の食材で季節を感じることになる。豊富な食材が味わえる前菜盛り合わせはランチのみ。夜は皿数多いコースとなる。",631-0012,奈良,奈良,34.711486,135.773203,¥¥,イタリア料理
中華そば おしたに／Chukasoba Oshitani,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/chukasoba-oshitani,ビブグルマン：価格以上の満足感が得られる料理,,修業時代から数々の創作ラーメンを考案してきた主人。故郷で開業する際、当時あまり見かけなかった中華そばに目を付け、得意の創作性を加えた。「醤油」は昆布と牡蠣をかえしに利かせ、ポルチーニの香味油で仕上げる。「塩」は貝柱や海老の旨みに、トリュフオイルが香るなど、独自の一杯を追求している。,630-8014,奈良,奈良,34.67885,135.78866,¥,ラーメン
リストランテ ボルゴ・コニシ／RISTORANTE Borgo KONISHI,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/ristorante-borgo-konishi,,,夫婦で営むカウンター形式のリストランテ。テーブルを置かないのは、ゲストと真摯に向き合う思いから。山嵜シェフが作るのは、イタリアと奈良の食文化を融合させた料理。リゾットは奈良の郷土料理とされる茶粥がヒント。牛肉のタリアータに添えるパルミジャーノレッジャーノは奈良漬の酒粕に漬け込む。,630-8226,奈良,奈良,34.683312,135.827178,¥¥¥,イタリア料理
和 やまむら／Wa Yamamura,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/wa-yamamura,1つ星：高品質な料理,,食材や器の彩りが華やかな日本料理。料亭で腕を磨いた主人は、仕込みに手間をかけ雅な料理を供する。氷鉢に盛り込む造りや、酒肴をふんだんに並べた八寸が見どころ。夜のご飯物は数種から選べ、おかわりは、ちりめん山椒ご飯といった気遣いも。修業時代から連れ添う女将とのもてなしに心が和む。,630-8114,奈良,奈良,34.685875,135.812879,¥¥¥,日本料理
toi 印食店／toi Inshokuten,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/toi-inshokuten,ビブグルマン：価格以上の満足感が得られる料理,,店名はtrip of imaginationの頭文字。“空想の旅”はインドを目指し、伝統料理を伝えるべく「印食店」とした。肉、魚介、野菜とそれぞれが主となるカレーを用意。ターリーという定食形式に倣い、大皿に好みのカレー数種を盛り合わせる。インド風天ぷら「パコラ」などの一品も追加できる。,630-8266,奈良,奈良,34.68571,135.829041,¥,インド料理
麺屋 一徳／Menya Ittoku,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/menya-ittoku,ビブグルマン：価格以上の満足感が得られる料理,,注文を受けるたびに聞こえる電動スライサーの音。生ハムかのように、豚肉のチャーシューを薄切りしている。看板は塩ラーメン。丸鶏、昆布、鰹節からだしを引き、グルタミン酸とイノシン酸による旨味の相乗効果を生む。残ったスープに鶏肉入りの「〆飯（しめめし）」を加えれば、気分は鶏雑炊。,632-0016,奈良,奈良,34.598622,135.836008,¥,ラーメン
ピノノワール／Pinot Noir,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/pinot-noir,,,ピノノワールはブルゴーニュ原産の葡萄品種。造り手により個性豊かなワインとなる。小松郁雄は、ピノノワールのようなオンリーワンのシェフでありたいと店名にした。伝統料理をベースに、和素材や野菜を多く取り入れ創作する。調理も接客も娘との二人三脚。親子による競演が家族の絆を感じさせる。,634-0812,奈良,奈良,34.507122,135.788938,¥¥¥,フランス料理
ラ・フォルム ド エテルニテ／la forme d'éternité,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/la-forme-d%E2%80%99eternite,,,フランスの地方では郷土愛を肌で感じ、パリではクラシックの大切さを学んだ。シェフは近隣の生産者と信頼を築き、奈良の食材の豊かさを伝える。古典を尊ぶことからソースを重視。五條産卵を用いたポーチドエッグの赤ワインソースがスペシャリテ。修業時代から連れ添うマダムがワインを合わせてくれる。,630-8266,奈良,奈良,34.686482,135.828863,¥¥¥,フランス料理
バンケッティ／BANCHETTI,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/banchetti,,,四季を映す日本料理に感銘を受けたシェフ。イタリア語で「おもてなし」を意味する店名を掲げ、和の季節感を取り入れてもてなす。調理風景が楽しめるカウンターを設けたのは、割烹店からヒントを得た。春の花山椒、秋の茸と煮込むアクアパッツァは、日伊が融合したスペシャリテ。,630-8114,奈良,奈良,34.685952,135.810077,¥¥¥,イタリア料理
＃肉といえば松田／Nikutoieba Matsuda,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/nikutoieba-matsuda,,https://omakase.in/r/hd376663?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,肉職人の店主が仕入れた和牛。豪快に肉を披露してコースを始める。大和牛を主に扱うのは奈良の食材を知ってほしいから。枯らし熟成により肉の旨みを凝縮させたり、薄造りにして昆布で締めたり工夫する。しぐれ煮、カレーといった締めの一品まで和牛づくし。創意ある料理と魅せる演出で人気を博す。,634-0804,奈良,奈良,34.513889,135.791868,¥¥,牛肉料理
懐石 森本／Kaiseki Morimoto,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/kaiseki-morimoto,1つ星：高品質な料理,,実直な職人が一人で料理と向き合う。父が米と野菜を育て、母が接客を手伝い、両親の支えが息子を鼓舞する。信条は作りたて。食材そのものを生かす調理は尊重の表れ。椀物の吸い地は塩や醤油を一切使わず、椀種のほのかな塩味で調和を図る。手間をかけた料理の数々。簡潔な盛り付けに誠実さが表れる。,634-0078,奈良,奈良,34.509299,135.793285,¥¥¥,日本料理
割烹 利助／Kappo Risuke,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/kappo-risuke,,,色鮮やかな日本画や襖絵は、主人の福井利之が描いたもの。鯛や甘鯛などの魚がモチーフなのは魚好きゆえ。個室主体のため会席に力を注ぐ。季節の花や葉をあしらう八寸が最初の見せ場。酒が進むようにと、酒肴を十品以上盛り込む。夏は鮎を自ら釣ってくる。京都や大阪で修業したことから鱧料理も得意。,634-0007,奈良,奈良,34.524241,135.797382,¥¥¥,日本料理
味の旅人 浪漫／Ajinotabibito Roman,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/ajinotabibito-roman,1つ星：高品質な料理,,食堂から歩み始めた料理人の道。古い料理書を探し求め、独学で腕を磨いた。味の旅人と名乗り料理に明け暮れる恩田富夫。月替わりの献立は個性豊か。例えば6月は鮎の炭火焼、7月ならカレー、8月は冷や汁。ひと夏の浪漫と題して伝統料理や家庭料理を織り込む。娘達も調理場に立ち、父の旅路を支える。,631-0021,奈良,奈良,34.708276,135.750369,¥¥¥,日本料理
タマ／Tama,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/tama,,,江戸時代の風情を残す今井町に溶け込むような佇まい。古い町家を改装した店内は、古材の懐かしさとモダンなインテリアが同居する。南部礼一郎シェフが目指すのは、素材の味を自然に表現すること。味付けや油脂を控え、軽やかな料理に仕立てる。食材を最良の状態で出したいと、コース一種に力を注ぐ。,634-0812,奈良,奈良,34.506748,135.78597,¥¥¥,フランス料理
焼鳥 望月／Yakitori Mochizuki,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/yakitori-mochizuki,,https://www.tablecheck.com/shops/yakitori-mochizuki/reserve?utm_source=michelin_guide,修業先の教えを守り“近火の強火”を踏襲する板東寛和。備長炭を焼台に隙間なく埋め、鶏に合わせて火力を操る。様々な串を楽しんでほしいと品書きはコースのみ。丸鶏を自ら捌きソリレス、つなぎなどの希少部位も用意。レバーパテといった酒肴から始め、味の変化に気を配った焼鳥へと続く。,630-8357,奈良,奈良,34.678305,135.820395,¥¥,焼鳥
ア・ヴォートル・サンテ／A VOTRE SANTE,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/a-votre-sante,ビブグルマン：価格以上の満足感が得られる料理,,「フランスで見た光景を伝えたい」と語る辻村シェフ。1990年代に修業した南仏での思い出を呼び起こす。グジェールからパンや小菓子まで焼きたてが届く。ソースを添え、バターを贅沢に使う料理は、懐かしいフレンチの香りに包まれている。「サンテ（乾杯）」の合言葉が、楽しいひとときの始まりを告げる。,630-0253,奈良,奈良,34.68595,135.706132,¥¥,フランス料理
リストランテ リンコントロ／Ristorante L'incontro,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/ristorante-l-incontro,,,郷土料理中心のイタリアの食文化に感銘を受けたシェフ。奈良の生産者から食材を集め、山菜や茸は山に入り自ら採る。手作りの味を伝えたいと、生ハムやサラミといった加工肉を自ら仕込む。リングイネやタリオリーニなどのパスタも自家製。素材本来の香りを大切に、シンプルな味付けを心掛ける。,630-8321,奈良,奈良,34.675882,135.832054,¥¥,イタリア料理
五條 源兵衛／Gojo GENBEI,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/gojo-genbei,,,五條野菜が主役の店。中谷曉人は近隣農家と信頼関係を築き、伝統野菜から西洋野菜まで幅広く扱う。献立の発想は畑から。生産者と共に収穫し、対話をしながら案を練る。地元の醤油、味噌、酒など地域文化も織り込む。こんにゃくの揚げ物は、奈良県南部の家庭料理に想を得た。料理説明に熱意がこもる。,637-0041,奈良,奈良,34.349032,135.693532,¥¥,日本料理
懐石 かこむら／Kaiseki Kakomura,https://guide.michelin.com/jp/ja/nara-region/nara/restaurant/kaiseki-kakomura,,,茶懐石の精神に感銘を受け、日本料理の道を志した水主村敏彦。目でも味でも楽しめる伝統を踏襲した会席を振舞う。歳事を織り交ぜる八寸には、料亭での経験が生きる。鯛やオコゼなど瀬戸内の魚介を好んで使うのは、広島出身ゆえ。茶の湯の心を重んじ、自ら花を飾りもてなしに気を配る。,630-8223,奈良,奈良,34.681356,135.827648,¥¥¥,日本料理
グランロシェ／Grand rocher,https://guide.michelin.com/jp/ja/osaka-region/osaka/restaurant/grand-rocher,,,ガラス張りのファサードから、大理石のインテリアに、エルメスの飾り皿まで、優美な食卓を演出している。シェフは和素材でフランス料理を創作。例えば、ソースは日本酒や柚子で風味付け、マスタードの代わりに和辛子を使う。ゆったり過ごすならテーブル、ライブ感を求めるならカウンターがおすすめ。,541-0044,大阪,大阪,34.68903,135.499312,¥¥¥,フランス料理
わか杦／Wakasugi,https://guide.michelin.com/jp/ja/kyoto-region/kyoto/restaurant/wakasugi,,https://omakaseje.com/restaurants/lc644014?utm_content=booking_btn&utm_medium=referral&utm_source=michelinofficial,世界遺産金閣寺のほど近く、この土地を親しむ夫婦が割烹店を開いた。地域を盛り上げたいと居酒屋以上、割烹未満を掲げ、近隣住民が集える店を目指す。単品を主体とするのは客本位でありたいから。燻製した鮭と数の子のポテトサラダが定番。昼は一組に限り、会話を大切にしながらもてなしてくれる。,603-8372,京都,京都,35.038033,135.7333,¥¥¥,日本料理
観山／Kanzan,https://guide.michelin.com/jp/ja/kyoto-region/kyoto/restaurant/kanzan,,https://www.tablecheck.com/kanzan-kyoto/reserve/message?utm_source=michelin_guide,八木一真氏は、有名料亭や旅館で客に尽くす心を学んだ。修学院離宮の畑に訪れ、献立は畑で考える。野菜の炊き合わせは、旬の味を届けるように、収穫時の香りを大切に。実家は祇園の骨董屋。雅やかな骨董器で料理と共に四季を表す。八寸を盛る筏や籠は自ら手作り。目には見えない真心も料理を支えている。,600-8076,京都,京都,35.000002,135.762813,¥¥¥,日本料理
鮨 かわの／Sushi Kawano,https://guide.michelin.com/jp/ja/kyoto-region/kyoto/restaurant/sushi-kawano,,https://www.tablecheck.com/shops/sushi-kawano/reserve?utm_source=michelin_guide,学生時代はハードル選手だった川野光貴氏。タイムを縮め、最高のパフォーマンスを出すまでのステップは、すし職人の仕事も同じと言う。研究を重ねた握りは小振り、酢飯は塩が利き温度が高い。座右の銘は、日々すしに磨きをかけること。終わりなきすし道のハードルを一つずつ飛び越えながら走り続ける。,606-0824,京都,京都,35.044146,135.766825,¥¥¥,寿司
白山／Hakuzan,https://guide.michelin.com/jp/ja/kyoto-region/kyoto/restaurant/hakuzan,,,銀座から京都へ店を移したのは、自然の移ろいを感じながら料理と向き合うため。山城和彦氏は季節を伝えるため八寸に心を砕く。盛り付けに花や葉をあしらい、日本の原風景を映し出すように。定番の鯖寿司はより京都を感じさせる。炊き込みご飯は、二種味わってほしいと用意し、喜ばせてくれる。,605-0926,京都,京都,34.989514,135.779464,¥¥¥,日本料理
ガストロテカ ビメンディ／gastroteka bimendi,https://guide.michelin.com/jp/ja/osaka-region/osaka/restaurant/gastroteka-bimendi,ビブグルマン：価格以上の満足感が得られる料理,,ピンチョスやタパスといった小皿料理が揃うバル。スペインの地酒とバスクの郷土料理をカジュアルに楽しめる。バスクは山海を有する地形から食材に恵まれ、料理は幅が広い。どの品もシンプルで量はたっぷり。スペインと日本は距離こそ遠いものの、食材の良さを素直に生かすという点では近い。,550-0004,大阪,大阪,34.684567,135.497627,¥¥,スペイン料理
弧柳／Koryu,https://guide.michelin.com/jp/ja/osaka-region/osaka/restaurant/koryu,2つ星：優れた料理,https://www.tablecheck.com/ja/shops/osaka-koryu/reserve?utm_source=michelin_guide,弧を描く柳が「弧柳」の象徴。現代の数寄屋は網代天井までも弧を描く。水の都と呼ばれた大阪から川沿いの地に縁を感じた。心掛けるのは“なにわ”らしさ。造りを豪勢に盛り込む、魚庭（なにわ）が一番の見どころ。伝統野菜も大阪料理ゆえ。弧を描きしなる柳のように、しっかりした基礎と柔軟な発想を志す。,540-0038,大阪,大阪,34.686929,135.510132,¥¥¥¥,日本料理
秋華／Akihana,https://guide.michelin.com/jp/ja/kyoto-region/kyoto/restaurant/akihana,ビブグルマン：価格以上の満足感が得られる料理,,創作中華を学んだシェフは、基本を振り返るため中国各地の伝統料理を磨く。よだれ鶏、回鍋肉、海老チリソースといった四川のメニューも多い。看板とする麻婆豆腐は挽き肉でなく、和牛すじ肉で煮込むのがオリジナル。静岡出身らしく、桜海老と雑魚を合わせたXO醬炒飯は、駿河と京の食文化が通じ合う。,606-8167,京都,京都,35.039594,135.792333,¥¥,中国料理
ル キャトーズィエム／le 14e,https://guide.michelin.com/jp/ja/kyoto-region/kyoto/restaurant/le-14e,,,肉料理で有名な店がパリ14区にあり、そこで味わった牛肉に感動し働いたという。赤身の味が濃い和牛や経産牛を仕入れ、ステーキの味付けは塩胡椒のみと潔い。旨みを閉じ込めるため多めの油で揚げるように焼く。壁には生産者のサイン、自然派の赤ワインを片手にシンプルなおいしさを満喫したい。,602-0873,京都,京都,35.01716,135.768827,¥¥,フランス料理
太庵／Taian,https://guide.michelin.com/jp/ja/osaka-region/osaka/restaurant/taian,3つ星：特別な料理,https://omakaseje.com/r/cz950958?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,「太」は大きな、「庵」は小さな家を意味。髙畑均は小さな店でも大きな志を抱く熱意を屋号に込めた。カウンター割烹の形式に料亭仕込みの仕事を施す。珍味を盛り込む前菜の盛り合わせ、端正な椀物に積み重ねてきた経験が生きる。スペアリブのタレ焼や穴子の鳴門焼は、仕込みと焼きの技が織りなす。,542-0082,大阪,大阪,34.673353,135.507205,¥¥¥,日本料理
